,step,Validation/Accuracy_agri,Validation/Accuracy_barrenland,Validation/Accuracy_grassland,Validation/Accuracy_urban,epoch,lr-Adam,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step,val_accuracy,val_loss
0,0,,,,,,"[9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]",,,,,,
1,9,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,"[0.59375, 0.71875, 0.8125, 0.8125, 0.75, 0.625, 0.625]",,"[1.003631591796875, 1.126007080078125, 0.48489654064178467, 0.6373758316040039, 0.8189125061035156, 1.246368408203125, 1.211669921875]",,
2,19,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,"[0.875, 0.59375, 0.8125, 0.8125, 0.8125, 0.96875, 0.90625]",,"[0.8224344253540039, 1.0160102844238281, 1.0234832763671875, 0.8662605285644531, 0.4038071036338806, 0.09246945381164551, 0.37927865982055664]",,
3,29,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,"[0.90625, 0.8125, 0.78125, 0.78125, 0.9375, 0.96875, 0.84375]",,"[0.1239214837551117, 0.6117801666259766, 0.824432373046875, 0.8059158325195312, 0.48583316802978516, 0.22499656677246094, 0.6004137396812439]",,
4,39,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,"[0.90625, 0.875, 0.75, 0.90625, 0.9375, 0.90625, 0.8125]",,"[0.30503419041633606, 0.5248837471008301, 0.6141600608825684, 0.5963039398193359, 0.17430567741394043, 0.295041024684906, 0.6739997863769531]",,
5,49,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,"[0.78125, 1.0, 0.78125, 0.9375, 0.90625, 0.9375, 0.90625]",,"[0.7593727111816406, 0.0678672194480896, 0.590213418006897, 0.45097455382347107, 0.4106709957122803, 0.18579339981079102, 0.27040746808052063]",,
6,59,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,"[0.90625, 1.0, 0.96875, 0.84375, 0.9375, 0.9375, 0.96875]",,"[0.23381461203098297, 0.07766467332839966, 0.18417733907699585, 0.5703201293945312, 0.2900640070438385, 0.4151620864868164, 0.07103322446346283]",,
7,69,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,"[0.9375, 0.9375, 0.875, 1.0, 1.0, 0.84375, 0.84375]",,"[0.18491549789905548, 0.24276840686798096, 0.25875726342201233, 0.00943252444267273, 0.024510279297828674, 0.372119665145874, 0.68695068359375]",,
8,79,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,"[0.96875, 0.9375, 0.9375, 0.9375, 0.875, 0.96875, 0.90625]",,"[0.0941963940858841, 0.2118324637413025, 0.10144059360027313, 0.1968819499015808, 0.4674815535545349, 0.0495547391474247, 0.5079097747802734]",,
9,89,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,"[0.9375, 0.90625, 0.90625, 1.0, 1.0, 1.0, 0.875]",,"[0.11741034686565399, 0.3010593056678772, 0.15923476219177246, 0.05753423273563385, 0.02849610149860382, 0.11609715223312378, 0.5793361663818359]",,
